rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
7,8,3.5,7.52768,-0.0164597,-0.0164597,0,All,#4682B4,0
8,8,3.5,7.72525,-0.23802,-0.23802,0,All,#4682B4,0
9,8,3.5,7.40285,0.123527,0.123527,0,All,#4682B4,0
10,8,3.5,7.91915,-0.455462,-0.455462,0,All,#4682B4,0
1,8,4,7.9579,0.491295,0.491295,0,All,#4682B4,0
2,8,4,8.45407,-0.0651215,-0.0651215,0,All,#4682B4,0
3,8,4,8.46827,-0.0810491,-0.0810491,0,All,#4682B4,0
4,8,4,8.07445,0.360592,0.360592,0,All,#4682B4,0
5,8,4,7.99598,0.448592,0.448592,0,All,#4682B4,0
6,8,4,7.65477,0.831225,0.831225,0,All,#4682B4,0
7,8,4,8.1076,0.323423,0.323423,0,All,#4682B4,0
8,8,4,8.38836,0.00857111,0.00857111,0,All,#4682B4,0
9,8,4,8.24934,0.164467,0.164467,0,All,#4682B4,0
10,8,4,8.28025,0.129808,0.129808,0,All,#4682B4,0
1,8,4.5,8.25265,0.339063,0.339063,0,All,#4682B4,0
2,8,4.5,8.54161,0.0150147,0.0150147,0,All,#4682B4,0
3,8,4.5,8.57017,-0.0170169,-0.0170169,0,All,#4682B4,0
4,8,4.5,8.37796,0.198538,0.198538,0,All,#4682B4,0
5,8,4.5,8.28752,0.299957,0.299957,0,All,#4682B4,0
6,8,4.5,7.96683,0.659587,0.659587,0,All,#4682B4,0
7,8,4.5,8.36438,0.213767,0.213767,0,All,#4682B4,0
8,8,4.5,8.62379,-0.0771381,-0.0771381,0,All,#4682B4,0
9,8,4.5,8.5906,-0.0399244,-0.0399244,0,All,#4682B4,0
10,8,4.5,8.32166,0.26167,0.26167,0,All,#4682B4,0
1,8,5,8.31703,0.189485,0.189485,0,All,#4682B4,0
2,8,5,8.51887,-0.0368571,-0.0368571,0,All,#4682B4,0
3,8,5,8.488,-0.00224578,-0.00224578,0,All,#4682B4,0
4,8,5,8.44752,0.0431545,0.0431545,0,All,#4682B4,0
5,8,5,8.38886,0.108929,0.108929,0,All,#4682B4,0
6,8,5,8.08746,0.446926,0.446926,0,All,#4682B4,0
