time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
18.2651,1.67213,0,0,0,0.748139,1.40303,1.9322,2.45733,2.98154,3.51654,4.50409,All
18.3474,1.6287,0,0,0,0.699169,1.36304,1.89506,2.42707,2.95668,3.50141,4.49106,All
18.4297,1.59225,0,0,0,0.652907,1.32104,1.85839,2.40025,2.932,3.4811,4.4761,All
18.512,1.56268,0,0,0,0.608306,1.27985,1.82506,2.37116,2.90549,3.46383,4.45606,All
18.5944,1.52911,0,0,0,0.565394,1.24199,1.79945,2.34315,2.8865,3.45512,4.43124,All
18.6767,1.49182,0,0,0,0.527223,1.1946,1.76834,2.31665,2.86392,3.43655,4.41239,All
18.759,1.45981,0,0,0,0.48342,1.15389,1.73594,2.29365,2.84265,3.41533,4.39482,All
18.8414,1.42356,0,0,0,0.440356,1.11816,1.70079,2.27069,2.8228,3.40199,4.37376,All
18.9237,1.39434,0,0,0,0.402947,1.08478,1.67081,2.24183,2.80168,3.37868,4.35092,All
19.006,1.3617,0,0,0,0.357705,1.03855,1.64432,2.21769,2.78063,3.35986,4.32044,All
19.0884,1.32582,0,0,0,0.316619,1.00111,1.61758,2.19146,2.76451,3.34734,4.31176,All
